2079,5000
885,1638,22389,18108
879,1631,22178,17921
887,1630,22470,18190
877,1625,22130,17860
885,1628,22401,18119
883,1648,22337,18011
884,1635,22375,18096
883,1621,22424,18165
881,1639,22231,17943
880,1634,22275,18021
880,1640,22258,17987
882,1631,22317,18008
882,1609,22451,18173
880,1629,22252,17919
884,1640,22377,18096
879,1615,22211,17942
879,1634,22223,17981
885,1613,22460,18158
882,1624,22279,17951
881,1635,22274,17995
880,1630,22260,17988
882,1640,22318,18026
883,1614,22364,18116
877,1632,22126,17861
886,1627,22405,18138
880,1625,22282,17995
882,1648,22288,17995
882,1619,22347,18089
877,1632,22151,17900
884,1623,22427,18188
880,1633,22253,17948
880,1633,22256,17990
884,1632,22389,18081
879,1637,22227,17867
888,1621,22519,18237
888,1647,22385,18064
880,1629,22230,17974
882,1628,22333,18036
879,1626,22194,17891
885,1620,22492,18221
881,1645,22256,17933
881,1629,22286,18038
881,1632,22294,18034
876,1642,22103,17852
884,1626,22410,18155
888,1645,22442,18105
896,1641,22619,18278
896,1646,22589,18260
893,1643,22477,18132
895,1629,22753,18430
896,1642,22662,18330
884,1630,22348,18039
882,1634,22352,18058
881,1629,22257,17914
885,1619,22455,18199
877,1629,22155,17908
881,1624,22312,18059
882,1623,22326,18034
881,1627,22290,17958
884,1621,22425,18166
879,1635,22201,17906
881,1629,22291,18039
882,1635,22329,18074
879,1625,22199,17944
886,1632,22470,18192
878,1639,22188,17873
886,1628,22427,18143
881,1627,22275,18019
882,1630,22307,18036
883,1612,22397,18146
879,1638,22190,17923
884,1622,22379,18080
880,1632,22278,18000
887,1639,22457,18108
890,1612,22480,18166
879,1630,22210,17931
881,1634,22282,18037
882,1622,22295,17993
881,1640,22301,17993
885,1631,22429,18167
881,1631,22228,17922
884,1632,22361,18083
879,1630,22187,17937
881,1630,22265,18002
881,1613,22338,18102
881,1634,22261,17947
891,1621,22601,18298
891,1645,22433,18097
880,1631,22212,17951
881,1615,22313,18048
878,1626,22188,17906
887,1624,22514,18224
883,1631,22340,18036
882,1628,22330,18025
882,1642,22307,18037
878,1638,22142,17870
884,1617,22446,18189
881,1638,22259,17967
886,1640,22430,18116
880,1636,22244,17975
886,1635,22328,18019
898,1624,22741,18430
897,1654,22545,18196
884,1641,22286,18023
883,1615,22336,18081
879,1626,22200,17867
886,1616,22488,18228
880,1624,22236,17958
887,1641,22418,18142
885,1620,22327,18039
