2682,10000
824,1550,20161,16388
822,1569,20097,16301
836,1598,20528,16691
828,1594,20144,16326
824,1553,20182,16377
822,1552,20105,16354
820,1569,20020,16266
821,1546,20083,16332
824,1578,20093,16320
827,1553,20243,16384
823,1561,20134,16366
820,1566,20037,16278
823,1556,20086,16345
820,1574,19992,16251
839,1587,20576,16712
822,1552,20102,16325
824,1567,20189,16393
833,1579,20354,16463
819,1566,19976,16219
823,1556,20151,16382
824,1567,20143,16373
823,1559,20174,16377
825,1547,20216,16418
820,1575,19991,16227
825,1546,20217,16434
822,1555,20115,16363
826,1547,20205,16447
830,1575,20230,16429
820,1586,20005,16249
828,1564,20332,16497
828,1592,20156,16344
822,1561,20073,16300
824,1554,20151,16371
823,1567,20077,16331
823,1551,20201,16392
821,1565,20043,16279
825,1548,20210,16423
823,1545,20163,16337
821,1559,20062,16307
825,1559,20208,16437
819,1583,19941,16205
824,1554,20200,16412
824,1551,20229,16408
820,1567,20020,16281
824,1552,20207,16409
827,1558,20166,16371
831,1565,20211,16427
821,1569,20048,16276
820,1560,20035,16298
825,1554,20257,16438
820,1570,20042,16272
822,1559,20081,16333
822,1566,20080,16331
818,1567,20033,16282
824,1541,20184,16398
820,1574,20003,16249
825,1554,20224,16417
824,1553,20219,16396
820,1574,19995,16247
824,1549,20179,16421
819,1566,19958,16223
824,1562,20214,16389
823,1554,20158,16325
821,1564,20062,16292
825,1555,20190,16388
818,1575,19932,16191
823,1550,20137,16363
822,1562,20096,16352
827,1541,20197,16435
836,1588,20547,16676
819,1570,19982,16218
824,1546,20189,16414
822,1549,20119,16355
823,1569,20117,16349
828,1568,20194,16366
820,1593,19992,16211
825,1544,20251,16437
822,1563,20152,16348
823,1554,20132,16372
824,1568,20113,16323
820,1580,19978,16226
826,1552,20267,16461
823,1563,20122,16302
822,1555,20103,16340
822,1549,20136,16360
821,1571,20050,16286
823,1559,20136,16364
818,1571,19960,16227
821,1553,20051,16310
822,1561,20118,16329
819,1568,20015,16258
823,1545,20146,16384
823,1569,20047,16291
826,1554,20186,16418
828,1571,20196,16384
822,1555,20100,16311
826,1550,20276,16448
820,1571,20073,16270
821,1568,20070,16308
823,1563,20090,16338
820,1562,20012,16274
825,1551,20241,16438
819,1579,20018,16221
820,1568,20045,16274
822,1548,20112,16347
821,1572,20039,16279
821,1563,20173,16416
819,1569,19954,16213
823,1560,20102,16343
821,1562,20114,16305
823,1558,20155,16370
822,1545,20128,16375
818,1572,19969,16204
824,1548,20153,16411
824,1567,20179,16373
827,1580,20125,16322
824,1546,20183,16394
820,1577,20066,16257
831,1566,20340,16545
834,1571,20408,16585
824,1562,20131,16356
823,1557,20169,16375
821,1563,20068,16284
824,1558,20166,16401
822,1562,20090,16320
824,1572,20105,16353
822,1558,20088,16344
820,1572,19968,16229
825,1562,20193,16447
823,1554,20195,16381
821,1565,20072,16304
830,1560,20304,16502
826,1566,20162,16375
836,1565,20412,16604
821,1570,20098,16320
823,1554,20113,16329
824,1556,20190,16375
821,1579,20043,16219
824,1548,20170,16409
819,1565,19996,16249
823,1561,20124,16371
823,1540,20170,16379
821,1571,20073,16272
823,1555,20188,16402
818,1579,19965,16212
824,1554,20137,16377
821,1547,20093,16338
822,1558,20068,16315
829,1573,20339,16535
823,1571,20129,16325
827,1567,20138,16345
822,1555,20104,16337
823,1567,20117,16346
824,1560,20146,16393
820,1588,19991,16202
823,1554,20139,16365
823,1562,20170,16381
822,1566,20139,16323
824,1557,20186,16434
824,1560,20113,16360
824,1578,20071,16290
822,1563,20109,16314
821,1573,20120,16307
824,1543,20194,16414
821,1622,20012,16250
824,1542,20165,16391
823,1546,20121,16371
821,1556,20043,16313
826,1554,20230,16451
822,1578,20028,16224
825,1559,20206,16440
821,1577,20048,16285
820,1568,19978,16243
822,1553,20071,16325
820,1579,19995,16230
823,1541,20205,16405
830,1571,20350,16499
832,1569,20384,16507
826,1568,20136,16332
818,1576,19937,16211
826,1556,20251,16475
825,1585,20209,16435
821,1566,20092,16292
825,1561,20213,16419
830,1599,20198,16358
824,1556,20152,16374
822,1548,20097,16335
