1022,1770,26795,22287
1027,1812,26979,22477
1027,1790,26952,22448
1022,1775,26744,22261
1024,1811,26884,22439
1025,1787,26848,22288
1027,1810,26983,22480
1026,1790,26926,22429
1027,1775,26900,22383
1025,1814,26864,22455
1017,1772,26514,22217
1030,1831,27045,22538
1032,1767,26986,22394
1041,1826,27296,22696
1032,1781,27002,22461
1024,1782,26740,22229
1025,1800,26907,22423
1028,1805,26976,22440
1031,1787,26986,22419
1031,1824,27089,22602
1021,1779,26763,22257
1033,1815,27083,22583
1026,1777,26825,22280
1032,1783,26997,22469
1029,1833,27095,22595
1023,1807,26759,22175
1031,1799,27039,22483
1025,1786,26825,22287
1024,1792,26850,22350
1028,1813,26984,22511
1024,1785,26803,22258
1029,1805,27019,22506
1024,1781,26857,22304
1031,1794,27026,22453
1025,1812,26906,22418
1024,1780,26742,22256
1029,1827,27038,22548
1024,1773,26832,22319
1033,1805,27096,22516
1025,1788,26885,22385
1025,1799,26819,22264
1027,1815,26993,22508
1024,1794,26854,22369
1020,1811,26838,22410
1026,1798,26913,22400
1025,1801,26842,22256
1028,1816,27030,22511
1027,1772,26911,22387
1029,1806,26955,22446
1025,1786,26865,22369
1024,1801,26800,22252
1027,1809,26988,22477
1026,1781,26898,22374
1030,1806,27064,22497
1026,1789,26903,22433
1024,1786,26729,22202
1029,1820,27037,22562
1025,1799,26878,22352
1026,1796,26951,22442
1026,1797,26910,22398
1027,1775,26863,22346
1028,1821,27018,22507
1023,1774,26772,22280
1026,1806,26932,22454
1029,1799,26962,22448
1025,1784,26866,22306
1032,1804,27074,22528
1021,1762,26659,22215
1030,1793,26960,22456
1026,1780,26842,22343
1041,1816,27301,22727
1027,1822,27007,22498
1028,1799,26880,22303
1028,1806,27008,22474
1026,1780,26861,22353
1026,1787,26867,22364
1027,1822,27010,22527
1023,1783,26771,22255
1031,1808,27079,22522
1030,1788,26937,22424
1026,1790,26887,22376
1030,1831,27091,22599
1023,1802,26756,22216
1032,1815,27054,22513
1025,1785,26816,22282
1040,1827,27282,22730
1036,1793,27108,22528
1026,1804,26788,22255
1027,1801,26963,22450
1024,1781,26830,22330
1026,1784,26888,22360
1027,1791,26979,22457
1027,1790,26850,22315
1028,1806,27064,22518
1030,1772,26977,22408
1026,1761,26830,22303
1035,1824,27093,22592
1039,1820,27064,22436
1028,1810,27034,22488
1029,1791,26940,22400
1027,1784,26918,22391
1027,1795,26950,22431
1024,1795,26757,22248
1035,1825,27174,22652
1040,1787,27128,22562
1030,1808,27061,22508
1025,1786,26878,22357
1024,1782,26770,22239
1028,1817,26994,22487
1031,1784,26985,22446
1026,1792,26942,22410
1031,1802,27062,22499
1025,1790,26784,22185
1031,1825,27150,22586
1024,1774,26816,22310
1036,1823,27179,22627
1040,1793,27181,22604
1025,1793,26843,22283
1043,1846,27451,22862
1023,1782,26738,22199
1027,1807,26986,22463
1029,1813,26988,22476
1025,1778,26832,22313
1038,1836,27236,22720
1033,1782,26982,22445
1031,1784,27000,22417
1030,1800,27022,22488
1027,1785,26847,22293
1031,1828,27131,22612
1024,1790,26707,22158
1029,1813,27019,22500
1026,1780,26876,22328
1031,1837,27089,22521
1028,1825,27078,22514
1024,1773,26792,22284
1025,1798,26888,22409
1024,1793,26854,22355
1026,1795,26972,22454
1028,1830,27059,22549
1028,1777,26868,22342
1027,1781,26912,22363
