2723,10000
732,1435,17320,13932
731,1433,17268,13900
733,1424,17328,13930
742,1436,17503,14060
743,1445,17534,14113
732,1434,17324,13923
729,1441,17268,13867
731,1436,17302,13890
730,1453,17258,13858
730,1445,17230,13855
739,1438,17415,13999
729,1442,17228,13834
732,1437,17286,13871
730,1434,17282,13895
729,1451,17231,13854
732,1435,17316,13930
734,1458,17279,13837
729,1446,17236,13847
731,1442,17267,13897
730,1447,17251,13834
737,1438,17402,13976
729,1432,17224,13835
729,1447,17219,13830
731,1445,17287,13913
730,1447,17190,13813
733,1436,17370,13977
729,1448,17243,13837
730,1451,17272,13859
736,1439,17329,13914
730,1449,17201,13802
733,1428,17339,13941
729,1449,17252,13863
739,1444,17411,13967
744,1468,17589,14180
730,1436,17243,13817
731,1428,17316,13948
728,1448,17172,13788
735,1456,17311,13898
730,1435,17248,13878
731,1437,17270,13862
733,1428,17328,13915
727,1485,17159,13778
733,1428,17331,13950
730,1434,17249,13865
729,1452,17241,13847
733,1435,17320,13936
728,1454,17184,13766
733,1429,17362,13950
731,1433,17270,13891
730,1441,17269,13881
731,1437,17304,13928
728,1446,17185,13805
733,1425,17366,13951
731,1434,17279,13868
730,1449,17250,13863
731,1448,17292,13918
727,1450,17120,13732
733,1428,17335,13962
731,1444,17257,13859
726,1435,17244,13857
731,1441,17304,13901
726,1456,17117,13725
733,1428,17349,13959
731,1433,17292,13897
730,1452,17258,13852
730,1430,17270,13893
729,1449,17214,13796
734,1427,17381,13963
728,1443,17196,13805
731,1431,17294,13903
744,1453,17567,14125
738,1442,17461,14044
733,1424,17365,13959
728,1452,17159,13770
730,1440,17266,13880
731,1427,17276,13893
729,1432,17219,13823
733,1439,17338,13951
729,1437,17224,13853
731,1435,17286,13888
731,1426,17279,13891
730,1458,17213,13816
732,1429,17329,13939
729,1437,17210,13848
736,1453,17348,13859
732,1436,17313,13893
731,1444,17280,13889
733,1423,17394,13967
729,1440,17209,13832
731,1438,17275,13893
731,1443,17302,13904
728,1449,17211,13830
733,1417,17382,13973
729,1448,17218,13836
731,1441,17285,13883
731,1455,17256,13874
728,1445,17200,13836
734,1426,17341,13978
732,1435,17258,13848
732,1434,17319,13896
731,1436,17279,13905
729,1448,17221,13819
736,1431,17379,13959
728,1444,17155,13767
732,1433,17329,13932
731,1448,17292,13904
732,1440,17269,13837
729,1436,17303,13938
733,1462,17255,13830
732,1436,17288,13910
730,1441,17241,13872
731,1453,17274,13863
732,1440,17307,13874
727,1451,17146,13758
733,1434,17327,13932
731,1425,17274,13891
