2780,10000
731,1468,17237,13637
738,1452,17458,13862
735,1461,17309,13690
729,1462,17194,13662
728,1452,17165,13661
730,1458,17241,13674
733,1456,17343,13795
729,1465,17165,13623
731,1461,17268,13719
731,1457,17258,13706
731,1454,17257,13690
734,1446,17355,13818
730,1457,17228,13631
732,1456,17283,13737
731,1454,17251,13693
732,1471,17285,13702
730,1458,17255,13737
733,1459,17281,13729
741,1473,17410,13826
736,1469,17323,13710
729,1455,17200,13646
735,1456,17366,13831
743,1476,17462,13829
729,1465,17187,13656
733,1446,17323,13770
739,1478,17366,13784
731,1460,17267,13720
730,1460,17204,13652
732,1464,17230,13676
729,1466,17215,13678
730,1461,17181,13613
731,1448,17276,13775
730,1457,17162,13604
732,1455,17296,13752
731,1462,17251,13704
730,1461,17212,13651
731,1468,17264,13742
729,1459,17139,13600
731,1455,17281,13753
731,1472,17267,13704
730,1462,17223,13678
729,1464,17220,13707
729,1466,17182,13638
731,1454,17276,13740
730,1466,17236,13703
729,1454,17193,13699
729,1473,17179,13650
729,1455,17172,13627
730,1457,17253,13740
731,1463,17246,13720
728,1471,17172,13654
730,1457,17233,13737
728,1456,17169,13629
731,1453,17259,13734
731,1465,17264,13739
736,1465,17363,13796
736,1465,17351,13818
735,1473,17313,13766
730,1460,17248,13746
728,1450,17185,13662
731,1469,17236,13713
730,1465,17223,13694
729,1456,17197,13689
729,1465,17218,13722
727,1466,17146,13659
728,1467,17148,13644
728,1461,17180,13699
731,1457,17238,13712
734,1470,17279,13729
728,1477,17148,13626
728,1462,17149,13651
731,1453,17268,13762
741,1469,17414,13842
729,1456,17233,13734
728,1471,17155,13633
730,1466,17224,13704
730,1461,17229,13720
729,1461,17192,13675
730,1469,17254,13762
728,1460,17145,13609
729,1455,17189,13664
728,1470,17176,13671
728,1460,17178,13670
733,1511,17267,13752
726,1470,17090,13623
727,1467,17133,13645
728,1463,17158,13659
723,1465,17106,13643
730,1447,17234,13759
726,1453,17081,13589
731,1463,17246,13740
731,1465,17180,13649
730,1472,17218,13693
731,1466,17253,13737
726,1461,17099,13576
731,1457,17272,13753
727,1467,17145,13647
727,1466,17163,13687
727,1465,17157,13678
727,1466,17125,13613
730,1458,17228,13723
